,_id,l_id,r_id,l_title,l_company,l_salary,r_title,r_company,r_benefits,r_maxSalary,r_minSalary,_sim_score,label
0,0,23,14,Embedded Software Engineer - Japanese N3,LG Vehicle Component Solutions Development Center Vietnam (LG VS DCV),"700 - 2,000 USD","[URGENT] Software Test Engineer - Manual Testing - Upto $1,500 - Hanoi",LG Vehicle Component Solutions Development Center Vietnam (LG VS DCV),"Bonus, Others, Training",1500,600,0.8125,0
1,1,226,14,"Manual Tester - Up to $1,500",LG Vehicle Component Solutions Development Center Vietnam (LG VS DCV),"600 - 1,500 USD","[URGENT] Software Test Engineer - Manual Testing - Upto $1,500 - Hanoi",LG Vehicle Component Solutions Development Center Vietnam (LG VS DCV),"Bonus, Others, Training",1500,600,0.8125,1
2,2,572,14,Software Engineer (Java/.NET/PHP/Python),SystemGear Vietnam,"600 - 1,200 usd","[URGENT] Software Test Engineer - Manual Testing - Upto $1,500 - Hanoi",LG Vehicle Component Solutions Development Center Vietnam (LG VS DCV),"Bonus, Others, Training",1500,600,0.6,0
3,3,299,40,Mobile Apps Developer (Flutter),Symper,You'll love it,Mobile Developer (Flutter) - Lương up to 1200$,Công Ty Cổ Phần Tập Đoàn Sunshine,"Bonus, Training, Paid Leave",1800,0,0.6,0
4,4,585,40,Mobile Developer (Flutter),Sunshine Group,You'll love it,Mobile Developer (Flutter) - Lương up to 1200$,Công Ty Cổ Phần Tập Đoàn Sunshine,"Bonus, Training, Paid Leave",1800,0,0.8,1
5,5,558,42,Project Manager,GoQuo Vietnam,You'll love it,Japanese Project Manager (Renovation & Maintenance North Projects),"Kajima Vietnam Co., Ltd","Healthcare Plan, Others, Bonus",0,0,0.75,0
6,6,115,62,"Data Engineer (SQL, Python)",Techcombank,You'll love it,Senior Data Engineer,Techcombank,"Healthcare Plan, Bonus, Paid Leave",0,0,0.75,1
7,7,269,62,Senior Data Engineer (Python),VPBank,You'll love it,Senior Data Engineer,Techcombank,"Healthcare Plan, Bonus, Paid Leave",0,0,0.75,0
8,8,115,63,"Data Engineer (SQL, Python)",Techcombank,You'll love it,Test Engineer,Techcombank,"Healthcare Plan, Bonus, Paid Leave",0,0,0.666666667,0
9,9,199,63,Test Engineer ( Data),Techcombank,You'll love it,Test Engineer,Techcombank,"Healthcare Plan, Bonus, Paid Leave",0,0,1,1
10,10,52,64,DevOps Engineer,VPBank,You'll love it,Cloud DevOps (DevSecOps) Engineer,Techcombank,"Healthcare Plan, Bonus, Paid Leave",0,0,0.666666667,0
11,11,427,64,DevOps Engineer,VINBRAIN,You'll love it,Cloud DevOps (DevSecOps) Engineer,Techcombank,"Healthcare Plan, Bonus, Paid Leave",0,0,0.666666667,0
12,12,17,65,Cloud Solution Architect,Công ty cổ phần HTC Viễn Thông Quốc Tế,Up to 45tr,Cloud Solution Architect,Techcombank,"Bonus, Healthcare Plan, Paid Leave",0,0,0.75,0
13,13,23,68,Embedded Software Engineer - Japanese N3,LG Vehicle Component Solutions Development Center Vietnam (LG VS DCV),"700 - 2,000 USD","Embedded Software Engineer - Over N3 Japanese Preferred - Salary Up-To $2,000",LG Vehicle Component Solutions Development Center Vietnam (LG VS DCV),"Others, Training, Bonus",2000,700,1,1
14,14,226,68,"Manual Tester - Up to $1,500",LG Vehicle Component Solutions Development Center Vietnam (LG VS DCV),"600 - 1,500 USD","Embedded Software Engineer - Over N3 Japanese Preferred - Salary Up-To $2,000",LG Vehicle Component Solutions Development Center Vietnam (LG VS DCV),"Others, Training, Bonus",2000,700,0.6875,0
15,15,572,68,Software Engineer (Java/.NET/PHP/Python),SystemGear Vietnam,"600 - 1,200 usd","Embedded Software Engineer - Over N3 Japanese Preferred - Salary Up-To $2,000",LG Vehicle Component Solutions Development Center Vietnam (LG VS DCV),"Others, Training, Bonus",2000,700,0.6,0
16,16,209,72,Senior UI/UX Designer (x3),"Niteco Vietnam Co., Ltd",You'll love it,Architecture,"Kajima Vietnam Co., Ltd","Training, Bonus, Awards",0,0,0.6,0
17,17,321,72,"Java Developer (Spring, Oracle)","Kuehne + Nagel Co., Ltd Vietnam",You'll love it,Architecture,"Kajima Vietnam Co., Ltd","Training, Bonus, Awards",0,0,0.6,0
18,18,323,72,"Mobile Dev (Android, Kotlin, WkWebview)","Lotte Data Communicaton Co., Ltd Vietnam",Up to $2000,Architecture,"Kajima Vietnam Co., Ltd","Training, Bonus, Awards",0,0,0.6,0
19,19,331,72,DevOps (Fresh),"Lotte Data Communicaton Co., Ltd Vietnam",You'll love it,Architecture,"Kajima Vietnam Co., Ltd","Training, Bonus, Awards",0,0,0.6,0
20,20,336,72,"Project Leader (Java, C/C++)","Lotte Data Communicaton Co., Ltd Vietnam",You'll love it,Architecture,"Kajima Vietnam Co., Ltd","Training, Bonus, Awards",0,0,0.6,0
21,21,393,72,"Senior .NET Devs x12 (C#, ASP.NET, MVC)","Niteco Vietnam Co., Ltd",You'll love it,Architecture,"Kajima Vietnam Co., Ltd","Training, Bonus, Awards",0,0,0.6,0
22,22,468,72,"05 Ruby On RailDevelopers (Ruby, MySQL)","Vareal Vietnam Co., Ltd",Up to 1600$,Architecture,"Kajima Vietnam Co., Ltd","Training, Bonus, Awards",0,0,0.6,0
23,23,483,72,Senior Tester (x3),"Niteco Vietnam Co., Ltd",You'll love it,Architecture,"Kajima Vietnam Co., Ltd","Training, Bonus, Awards",0,0,0.6,0
24,24,547,72,Senior Project Managers (x6),"Niteco Vietnam Co., Ltd",You'll love it,Architecture,"Kajima Vietnam Co., Ltd","Training, Bonus, Awards",0,0,0.6,0
25,25,559,72,"Sr Frontend x 8 (HTML5/CSS, JavaScript)","Niteco Vietnam Co., Ltd",You'll love it,Architecture,"Kajima Vietnam Co., Ltd","Training, Bonus, Awards",0,0,0.6,0
26,26,312,79,Business Analyst,Avenue,Up to 20m vnd gross,Business Analyst [Upto $1200],Giao Hàng Tiết Kiệm,"Healthcare Plan, Training, Bonus",1200,400,0.666666667,0
27,27,23,83,Embedded Software Engineer - Japanese N3,LG Vehicle Component Solutions Development Center Vietnam (LG VS DCV),"700 - 2,000 USD","[URGENT - Hanoi] C/C++ Software Engineer - Global Automotive Projects - Upto $2,000",LG Vehicle Component Solutions Development Center Vietnam (LG VS DCV),"Bonus, Training, Others",2000,700,0.8125,1
28,28,226,83,"Manual Tester - Up to $1,500",LG Vehicle Component Solutions Development Center Vietnam (LG VS DCV),"600 - 1,500 USD","[URGENT - Hanoi] C/C++ Software Engineer - Global Automotive Projects - Upto $2,000",LG Vehicle Component Solutions Development Center Vietnam (LG VS DCV),"Bonus, Training, Others",2000,700,0.6875,0
29,29,572,83,Software Engineer (Java/.NET/PHP/Python),SystemGear Vietnam,"600 - 1,200 usd","[URGENT - Hanoi] C/C++ Software Engineer - Global Automotive Projects - Upto $2,000",LG Vehicle Component Solutions Development Center Vietnam (LG VS DCV),"Bonus, Training, Others",2000,700,0.6,0
30,30,23,90,Embedded Software Engineer - Japanese N3,LG Vehicle Component Solutions Development Center Vietnam (LG VS DCV),"700 - 2,000 USD",Software Engineer,Fujitsu Vietnam Ltd,"Healthcare Plan, Bonus, Training",0,0,0.6,0
31,31,191,90,Java Software Engineer - Up to $1500,Kofax Vietnam,"1,000 - 1,500 USD",Software Engineer,Fujitsu Vietnam Ltd,"Healthcare Plan, Bonus, Training",0,0,0.6,0
32,32,193,90,.NET Software Engineer - Up to $1500,Kofax Vietnam,"1,000 - 1,500 USD",Software Engineer,Fujitsu Vietnam Ltd,"Healthcare Plan, Bonus, Training",0,0,0.6,0
33,33,297,90,[URGENT] C++ Software Engineer (OOP),Panasonic Vietnam Group – Panasonic R&D Center Vietnam (PRDCV),You'll love it,Software Engineer,Fujitsu Vietnam Ltd,"Healthcare Plan, Bonus, Training",0,0,0.6,0
34,34,527,90,C++(MFC/ATL) Senior Software Engineer,Kofax Vietnam,"1,200 - 2,000 USD",Software Engineer,Fujitsu Vietnam Ltd,"Healthcare Plan, Bonus, Training",0,0,0.6,0
35,35,534,90,Java Software Engineer - Up to $1500,Kofax Vietnam,"1,000 - 1,500 USD",Software Engineer,Fujitsu Vietnam Ltd,"Healthcare Plan, Bonus, Training",0,0,0.6,0
36,36,572,90,Software Engineer (Java/.NET/PHP/Python),SystemGear Vietnam,"600 - 1,200 usd",Software Engineer,Fujitsu Vietnam Ltd,"Healthcare Plan, Bonus, Training",0,0,0.6,0
37,37,574,90,"Software Engineer (Python, Golang, Java)",Teko Vietnam,You'll love it,Software Engineer,Fujitsu Vietnam Ltd,"Healthcare Plan, Bonus, Training",0,0,0.6,0
38,38,269,102,Senior Data Engineer (Python),VPBank,You'll love it,Chuyên Viên Cao Cấp Mô Hình Dữ Liệu - Senior Data Modeling - Hà Nội,VPBank - Https://tuyendung.vpbank.com.vn/,"Paid Leave, Bonus, Healthcare Plan",0,0,0.6,1
