,_id,l_id,r_id,l_title,l_salary,l_company,l_address,r_title,r_maxSalary,r_company,r_address
0,3,299,40,Mobile Apps Developer (Flutter),You'll love it,Symper,"['LTD House No 2, Alley 25/3, Lane 2 Giao Quang Group, Dai Mo Ward, Hanoi, Bac Tu Liem, Ha Noi']",Mobile Developer (Flutter) - Lương up to 1200$,1800,Công Ty Cổ Phần Tập Đoàn Sunshine,"Tòa nhà Sunshine Center, 16 Phạm Hùng, Nam Từ Liêm, Hà Nội"
1,4,585,40,Mobile Developer (Flutter),You'll love it,Sunshine Group,"['Tòa nhà Sunshine Center, 16 Phạm Hùng, Nam Từ Liêm, Hà Nội, Nam Tu Liem, Ha Noi', 'Block 5, Lô I-3B-1, Đường N6, Khu công nghệ cao, Phường Tân Phú- Thành phố Thủ Đức, District 9, Ho Chi Minh']",Mobile Developer (Flutter) - Lương up to 1200$,1800,Công Ty Cổ Phần Tập Đoàn Sunshine,"Tòa nhà Sunshine Center, 16 Phạm Hùng, Nam Từ Liêm, Hà Nội"
2,7,269,62,Senior Data Engineer (Python),You'll love it,VPBank,"['89 Lang Ha, Dong Da, Ha Noi']",Senior Data Engineer,0,Techcombank,"Techcombank Tower -191 Bà Triệu, Phường Lê Đại Hành, Quận Hai Bà Trưng, Hà Nội"
3,45,427,133,DevOps Engineer,You'll love it,VINBRAIN,"['Tầng 7, VinMec International Clinic, Times City, Hai Ba Trung, Ha Noi', 'Tầng 22 , Wework số 11 Đoàn Văn Bơ, District 4, Ho Chi Minh']",DevOps Engineer,0,Công Ty TNHH Vinbrain,"Tầng 7, Tòa Nhà phòng khám VinMec TimesCity, 458 Phố Minh Khai, Vĩnh Tuy, Hai Bà Trưng, Hà Nội"
4,47,19,141,Senior Web Developer,"1,500 - 3,000 USD",East Agile,"['16 Tam Dao, District 10, Ho Chi Minh', 'NA, Thanh Xuan, Ha Noi']",Senior Web Developer,3500,East Agile,"District 10, Ho Chi Minh City, Vietnam"
5,48,25,158,Android Developer,Up to 21m vnd gross,Avenue,"['Garden Plaza 1, District 7, Ho Chi Minh', 'Floor 7th, MacPlaza, 10 Tran Phu Street, Ha Dong, Ha Noi']",15 Ios/ Android Developer - Upto $2000,2000,"Ftech CO., LTD","Tầng 5, Số 434 Trần Khát Chân - Phường Phố Huế - Quận Hai Bà Trưng - Hà Nội"
6,49,314,158,Android Developer,"1,200 - 2,000 USD",Indigosws,"['Tầng 5 tòa nhà DC, số 144 phố Đội Cấn, Ba Dinh, Ha Noi']",15 Ios/ Android Developer - Upto $2000,2000,"Ftech CO., LTD","Tầng 5, Số 434 Trần Khát Chân - Phường Phố Huế - Quận Hai Bà Trưng - Hà Nội"
7,51,506,231,.NET Tech Manager (Up to $2000),Up to $2000,NOVAON DIGITAL GROUP,"['11 Duy Tân, Cau Giay, Ha Noi']",.NET Tech Manager (Up to $2000),2000,Tập Đoàn Digital Novaon,"Tầng 3, Toà nhà CIC, Số 2, Ngõ 219 Trung Kính, P. Yên Hoà, Q. Cầu Giấy, Hà Nội"
8,52,125,232,".NET Devs (C#, ASP.NET) - Up to $1500",Up to $1500,NOVAON DIGITAL GROUP,"['11 Duy Tân, Cau Giay, Ha Noi']",".NET Devs (C#, ASP.NET) - Up to $1500",1500,Tập Đoàn Digital Novaon,"Tầng 3, Toà nhà CIC, Số 2, Ngõ 219 Trung Kính, P. Yên Hoà, Q. Cầu Giấy, Hà Nội"
9,55,547,326,Senior Project Managers (x6),You'll love it,"Niteco Vietnam Co., Ltd","['14th Floor, CLand Tower, 156 Xa Dan II, Dong Da, Ha Noi', 'Unit 2.3, 2nd Floor, Etown 1, 364 Cong Hoa street, Tan Binh, Ho Chi Minh']",Senior Project Managers (x5) - Attractive Salary,0,"Niteco (Vietnam) CO., Ltd","Unit 2.3, 2nd floor, Etown 1, 364 Cong Hoa street, Tan Binh District, HCMC,"
10,56,312,334,Business Analyst,Up to 20m vnd gross,Avenue,"['Garden Plaza 1, District 7, Ho Chi Minh', 'Floor 7th, MacPlaza, 10 Tran Phu Street, Ha Dong, Ha Noi']",Senior Business Analyst - Hà Nội,0,VPBank - Https://tuyendung.vpbank.com.vn/,"Hà Nội, Vietnam"
11,57,458,334,Senior Business Analyst,You'll love it,VPBank,"['89 Lang Ha, Dong Da, Ha Noi']",Senior Business Analyst - Hà Nội,0,VPBank - Https://tuyendung.vpbank.com.vn/,"Hà Nội, Vietnam"
12,61,103,353,PHP Developer (Upto 2000$ NET),"500 - 2,000 USD",Giao Hàng Tiết Kiệm,"['Tòa nhà VTV, số 8 Phạm Hùng, phường Mễ Trì, quận Nam Từ Liêm, thành phố Hà Nội, Nam Tu Liem, Ha Noi']",PHP Developer (Upto 2000$ Net) [HN],2000,Công Ty Cổ Phần Giao Hàng Tiết Kiệm,"Hà Nội, Vietnam"
